"","Q006","TP_ESCOLA","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","NU_IDADE","TP_ST_CONCLUSAO","Q025","Q001","Q002","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_MEDIA","NOTA_MEDIA_GROUPPED"
"20535","Q",3,"F",1,1,17,2,"B","G","F",633.4,611.8,605.1,734.7,880,693,13
"20540","C",2,"F",1,3,19,2,"B","D","D",399.5,556.5,574,451.2,540,504.24,10
"20544","J",1,"F",1,1,16,3,"B","E","G",635.5,605.2,623.1,662,700,645.16,12
"20547","B",2,"F",0,1,18,2,"B","H","H",483.2,510.6,560.2,495.8,560,521.96,10
"20551","F",2,"F",1,3,19,2,"B","E","E",559.7,428.9,547,554.3,680,553.98,11
"20558","H",1,"F",1,1,16,3,"B","F","F",633.8,580.4,588.7,630.5,840,654.68,13
"20561","Q",1,"F",1,1,16,3,"B","E","F",556.8,626.5,587.6,708.4,600,615.86,12
"20568","C",1,"F",1,1,24,1,"B","C","C",466.6,480.3,505.6,396.2,600,489.74,9
"20570","P",3,"F",1,1,18,2,"B","G","F",567.4,550.2,600.5,676.9,660,611,12
"20590","Q",3,"M",1,1,17,2,"B","G","F",651.6,624.9,597.1,723.2,860,691.36,13
"20611","D",1,"F",2,3,44,1,"B","H","A",412.5,483,430.7,451.5,260,407.54,8
"20614","K",3,"F",1,1,17,2,"B","F","F",582.4,620,603.3,656.7,800,652.48,13
"20621","F",3,"F",1,1,18,2,"B","F","F",439.6,566,544.7,560,640,550.06,11
"20668","E",1,"F",1,3,19,1,"B","H","H",516.6,535.6,532.1,418.5,640,528.56,10
"20670","O",1,"F",1,1,20,1,"B","G","G",546.3,476.4,459.1,460.1,340,456.38,9
"20705","F",2,"F",1,1,19,2,"B","C","E",535,534.6,525.1,541.6,480,523.26,10
"20713","D",1,"M",1,2,17,3,"B","E","E",505.4,553,553.3,604.4,560,555.22,11
"20721","F",1,"M",1,1,20,1,"B","D","E",519.2,620,550.4,518.9,700,581.7,11
"20728","E",2,"F",1,1,17,2,"B","C","D",491.7,425.7,549.7,565.1,660,538.44,10
"20746","C",1,"M",1,1,27,1,"A","A","E",578.8,601.9,589.4,671.5,600,608.32,12
"20750","B",1,"F",1,1,22,1,"A","D","D",462.9,517.5,523.9,513.4,560,515.54,10
"20770","G",1,"F",1,1,24,1,"B","E","E",402.1,404,539.5,492.3,560,479.58,9
"20785","B",2,"M",1,3,17,2,"B","C","D",502.1,415.5,437.6,424.4,0,355.92,7
"20800","Q",1,"M",2,1,37,1,"B","F","F",598.3,623.5,597.8,724,680,644.72,12
"20806","J",1,"M",1,1,39,1,"B","E","E",454.4,591.7,558.6,486.4,620,542.22,10
"20832","E",2,"M",1,1,19,2,"A","C","E",382.1,527.1,511.3,373,500,458.7,9
"20838","E",2,"M",1,2,18,2,"B","D","D",523.2,596.4,572.6,560.4,600,570.52,11
"20855","D",1,"M",3,2,24,1,"B","D","D",461.9,499.3,497.2,477.1,660,519.1,10
"20880","P",3,"F",1,1,17,2,"B","G","F",597.8,638.8,632.8,651.9,720,648.26,12
"20896","C",1,"F",1,1,22,1,"B","C","E",429.5,483.8,542.4,560.2,620,527.18,10
"20905","D",2,"M",2,2,30,2,"A","E","D",502.9,452.1,505.8,420.5,400,456.26,9
"20910","J",1,"F",1,1,23,1,"B","E","E",637.8,693.1,600.1,702.7,880,702.74,14
"20913","C",1,"M",1,2,20,1,"B","B","B",378.3,396.3,478.2,483.2,560,459.2,9
"20932","D",1,"F",1,3,33,1,"B","D","B",457.2,379.5,369.9,497.9,300,400.9,8
"20950","C",1,"M",1,3,24,1,"B","H","D",542.4,575.8,591.1,657,680,609.26,12
"20953","E",1,"F",2,3,33,1,"B","C","E",565,636.8,617.2,642.8,780,648.36,12
"20964","B",1,"M",1,1,23,1,"B","D","E",629.3,685.3,661.8,687.6,760,684.8,13
"20971","C",2,"F",2,3,30,2,"A","C","D",364.4,553.9,451.8,543.3,260,434.68,8
"21039","C",1,"F",1,1,39,1,"B","B","C",352.9,384.8,405.5,419.4,260,364.52,7
"21041","N",1,"F",1,1,16,3,"B","G","G",531.6,615.4,600.2,564.3,560,574.3,11
"21050","C",1,"F",1,3,19,1,"B","E","E",574.4,499.9,551.5,499.6,760,577.08,11
"21055","O",3,"M",1,1,17,2,"B","G","F",604.7,657.6,624,725.5,900,702.36,14
"21063","N",1,"F",1,1,16,3,"B","G","G",534.4,547.3,558.3,609.4,600,569.88,11
"21075","D",1,"F",2,2,21,1,"B","F","F",565,558.3,558.4,580.6,600,572.46,11
"21104","O",1,"M",1,1,24,1,"B","F","G",654.8,686.7,592.7,752.1,820,701.26,14
"21125","J",2,"F",1,0,17,2,"B","F","E",575.6,602.6,592,658.9,840,653.82,13
"21134","D",2,"M",1,1,17,2,"B","C","E",452.6,549.9,545.5,603.1,620,554.22,11
"21148","E",2,"F",1,1,17,2,"B","H","D",511.5,547,561.2,444.1,580,528.76,10
"21159","K",1,"F",1,1,19,1,"B","E","E",603.9,594.7,548.2,598,660,600.96,12
"21168","C",1,"F",1,1,30,1,"A","B","B",560.3,501.4,570.8,463.7,620,543.24,10
"21170","H",2,"F",1,1,17,2,"B","F","E",543.8,614.1,578.7,641.9,820,639.7,12
